"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_04210"	"ESCRE0483"	"ESCRE1328"	"ESCRE1901"	"atpC"	"cls"	"crp"	"dgt"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"leuX"	"mdoH"	"metH"	"motB"	"mrdA"	"mrdB"	"mreB"	"napA"	"nuoN"	"nusA"	"ompR"	"poxA"	"pta"	"rho"	"rmlA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"truB"	"wbbC"	"ybaL"	"ybhI"	"yccE"	"yejM"	"yhhF"	"yjgQ"	"ykgG"	"yqeA"	"yraL"
"pta"	0.0114541736203113	-0.0645389313397987	0.0108220143886126	-0.0368737320296697	0.0659459586068331	0.199609087390911	0.000180710177216635	0	0.0801622522121578	0.00537638614007677	-0.141877419337179	-0.158669809051206	-0.00212226901084584	0.0741551531206555	0.171109905330166	-0.144642518212801	0.00636387218460994	-0.134302917646082	-0.269707932044788	0.0161837097622582	-0.201086256120785	-0.0300252420344969	0	0.195065228124994	-0.128520912499216	0.00542565940165634	0.0681467132459799	0	6.6503657640992e-05	-0.138045209424178	-0.172362179587227	0.244542663321315	-0.0387300052531673	0.159236262549668	-0.144739957766402	1	0.322272603887579	0.227634451217704	0.160880663028768	-0.0829457126198212	0	-0.1167293565374	0.0627776457958854	-0.0383436469245712	-0.143186831674554	-0.167062122344702	-0.0373885320034116	0.00132841797618736	0.173981238028267	0	0.13526572108049	-0.157115804546904	-0.128480454929095	0.0112660512429661	-0.172293964742667	0.000127554333559419	0	0.202704584563578	0
"rho"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0171850733338275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322272603887579	1	0	0	0	-0.032278934435289	-0.00615330734277825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rmlA"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0227477309482122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393416251955646	0	0	0	0.227634451217704	0	1	0	0	0.12002846606289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rnc"	0	0	0	0	0	0	0	0	0	0	0	0	-0.156291794290885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160880663028768	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	-0.0759742939119207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0829457126198212	0	0	0	1	-0.174925596924806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0.0489599302984458	0	0.00258463288383226	-0.159803432942568	0.0143288462454518	-0.204618365553464	0.181751892503365	-0.02086098209576	0.189655852831865	-0.0396836436441723	0.0753772836446037	0	0.110303341817712	0	-0.0313979971796412	0.037363761638117	0.209860065337584	-0.11730552117069	-0.104631593251181	0.0350374103974577	0.00640311267331284	0.188016012465979	0.00948955645218367	-0.227421141840252	0.185437498700248	-0.161752879053904	0.265831696122675	-0.206280128689837	-0.047941405954706	0.0814184321998301	0.129578414907004	0.00288958772310489	0	-0.0348059674558361	0	-0.032278934435289	0.12002846606289	0	-0.174925596924806	1	0.205722203546412	-0.165116465839912	0.00172564454855301	-0.0386903991142574	0.0801128600288366	0.00229560728172006	0.187353578997946	0	0.201112044421907	0.0305158406217797	-0.0943236602045446	-0.226874008361966	0	0.0819510841566539	-0.206247909064551	0.188554230064293	0.0183208376398691	0.187437452901154
"rpoD"	-0.0155551076625449	0.0329441425161896	-0.0177095717847464	0.0530548216317135	-0.0800145259797373	-0.0289158818790178	-0.00650495250825704	0	0	0.0468292850478339	0	0.0420274423868587	-0.0203210743007038	0	0	0	0	0.0391597484408391	0	-0.0577179442239016	0	0.0859210644261399	0	-0.0229759240142902	-0.000264871695672227	0.0430872152663629	-0.0820014764354629	0.0043952834845092	-0.0073555426097392	0	0.0504305996102281	0	0.054984079340117	0	0	-0.1167293565374	-0.00615330734277825	0	0	0	0.205722203546412	1	-0.0843842398238308	0.0559944539986489	0	0.0467381977228303	0.0565530671976708	0.0516623662552355	0	0.0779508704757336	0	0	0	-0.015852103938221	0.0500172255728582	-0.00749523277416191	0	-0.0388624707918739	0
"rpsR"	0	0	0	0	0	0	0	0	0	0	0	0	0.0339147673197465	0	0	0	0	0	0	0	0	-0.0621648672433043	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0627776457958854	0	0	0	0	-0.165116465839912	-0.0843842398238308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	-0.00432653346383407	0	-0.0143637668772401	0	0	0	0	0	0	0	0	0	-0.193337815743619	0	0	0	0	0	0	0	0	0.0998090372117173	0	0	0	0	0	0	0	0	0	0	0.00508127951699288	0	0	-0.0383436469245712	0	0	0	0	0.00172564454855301	0.0559944539986489	0	1	0	0	0.0150802496091021	0	0	0	0	0	0	-0.00660901723969002	0	0	0	-0.00458433127326194	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0.151920826277879	0	0	0	0	0	0	0	0	-0.0227904313793008	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143186831674554	0	0	0	0	-0.0386903991142574	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
